,team,season
0,Real Madrid,1955/56
1,Real Madrid,1956/57
2,Real Madrid,1957/58
3,Real Madrid,1958/59
4,Real Madrid,1959/60
5,Benfica,1960/61
6,Benfica,1961/62
7,Milan,1962/63
8,Inter,1963/64
9,Inter,1964/65
10,Real Madrid,1965/66
11,Celtic,1966/67
12,Man United,1967/68
13,Milan,1968/69
14,Feyenoord,1969/70
15,Ajax,1970/71
16,Ajax,1971/72
17,Ajax,1972/73
18,Bayern,1973/74
19,Bayern,1974/75
20,Bayern,1975/76
21,Liverpool,1976/77
22,Liverpool,1977/78
23,Nottm Forest,1978/79
24,Nottm Forest,1979/80
25,Liverpool,1980/81
26,Aston Villa,1981/82
27,Hamburg,1982/83
28,Liverpool,1983/84
29,Juventus,1984/85
30,FCSB,1985/86
31,FC Porto,1986/87
32,PSV,1987/88
33,Milan,1988/89
34,Milan,1989/90
35,Crvena zvezda,1990/91
36,Barcelona,1991/92
37,Marseille,1992/93
38,Milan,1993/94
39,Ajax,1994/95
40,Juventus,1995/96
41,Dortmund,1996/97
42,Real Madrid,1997/98
43,Man United,1998/99
44,Real Madrid,1999/00
45,Bayern,2000/01
46,Real Madrid,2001/02
47,Milan,2002/03
48,FC Porto,2003/04
49,Liverpool,2004/05
50,Barcelona,2005/06
51,Milan,2006/07
52,Man United,2007/08
53,Barcelona,2008/09
54,Inter,2009/10
55,Barcelona,2010/11
56,Chelsea,2011/12
57,Bayern,2012/13
58,Real Madrid,2013/14
59,Barcelona,2014/15
60,Real Madrid,2015/16
61,Real Madrid,2016/17
62,Real Madrid,2017/18
63,Liverpool,2018/19
64,Bayern,2019/20
65,Chelsea,2020/21
66,Real Madrid,2021/22
67,Man City,2022/23
