_id,home,away,goalHome,goalAway,season,round,winner
0,Real Madrid,Reims,4,3,1955/56,final,Real Madrid
1,Milan,Real Madrid,2,1,1955/56,semifinal,Milan
2,Hibernian,Reims,0,1,1955/56,semifinal,Reims
3,Real Madrid,Milan,4,2,1955/56,semifinal,Real Madrid
4,Reims,Hibernian,2,0,1955/56,semifinal,Reims
5,Milan,Rapid Wien,7,2,1955/56,cuartos de final,Milan
6,Partizan,Real Madrid,3,0,1955/56,cuartos de final,Partizan
7,MTK,Reims,4,4,1955/56,cuartos de final,empate
8,Hibernian,Djurgården,1,0,1955/56,cuartos de final,Hibernian
9,Rapid Wien,Milan,1,1,1955/56,cuartos de final,empate
10,Real Madrid,Partizan,4,0,1955/56,cuartos de final,Real Madrid
11,Reims,MTK,4,2,1955/56,cuartos de final,Reims
12,Djurgården,Hibernian,1,3,1955/56,cuartos de final,Hibernian
13,Saarbrücken,Milan,1,4,1955/56,octavos de final,Milan
14,PSV,Rapid Wien,1,0,1955/56,octavos de final,PSV
15,Reims,AGF,2,2,1955/56,octavos de final,empate
16,Anderlecht,MTK,1,4,1955/56,octavos de final,MTK
17,Hibernian,Essen,1,1,1955/56,octavos de final,empate
18,Gwardia,Djurgården,1,4,1955/56,octavos de final,Djurgården
19,Real Madrid,Servette,5,0,1955/56,octavos de final,Real Madrid
20,Partizan,Sporting CP,5,2,1955/56,octavos de final,Partizan
21,Milan,Saarbrücken,3,4,1955/56,octavos de final,Saarbrücken
22,AGF,Reims,0,2,1955/56,octavos de final,Reims
23,Rapid Wien,PSV,6,1,1955/56,octavos de final,Rapid Wien
24,Djurgården,Gwardia,0,0,1955/56,octavos de final,empate
25,Essen,Hibernian,0,4,1955/56,octavos de final,Hibernian
26,Servette,Real Madrid,0,2,1955/56,octavos de final,Real Madrid
27,MTK,Anderlecht,6,3,1955/56,octavos de final,MTK
28,Sporting CP,Partizan,3,3,1955/56,octavos de final,empate
29,Real Madrid,Fiorentina,2,0,1956/57,final,Real Madrid
30,Man United,Real Madrid,2,2,1956/57,semifinal,empate
31,Fiorentina,Crvena zvezda,0,0,1956/57,semifinal,empate
32,Real Madrid,Man United,3,1,1956/57,semifinal,Real Madrid
33,Crvena zvezda,Fiorentina,0,1,1956/57,semifinal,Fiorentina
34,Nice,Real Madrid,2,3,1956/57,cuartos de final,Real Madrid
35,Grasshoppers,Fiorentina,2,2,1956/57,cuartos de final,empate
36,CSKA Sofia,Crvena zvezda,2,1,1956/57,cuartos de final,CSKA Sofia
37,Man United,Athletic Club,3,0,1956/57,cuartos de final,Man United
38,Crvena zvezda,CSKA Sofia,3,1,1956/57,cuartos de final,Crvena zvezda
39,Real Madrid,Nice,3,0,1956/57,cuartos de final,Real Madrid
40,Fiorentina,Grasshoppers,3,1,1956/57,cuartos de final,Fiorentina
41,Athletic Club,Man United,5,3,1956/57,cuartos de final,Athletic Club
42,Dinamo Bucureşti,CSKA Sofia,3,2,1956/57,octavos de final,Dinamo Bucureşti
43,Honvéd,Athletic Club,3,3,1956/57,octavos de final,empate
44,Grasshoppers,Slovan Bratislava,2,0,1956/57,octavos de final,Grasshoppers
45,Norrköping,Fiorentina,0,1,1956/57,octavos de final,Fiorentina
