,team,season,goals,goalsAgainst,classified
0,Saarbrücken,1956,5,7,False
1,PSV,1956,2,6,False
2,PSV,1964,1,0,True
3,PSV,1976,7,1,True
4,PSV,1977,0,1,False
5,PSV,1979,2,3,False
6,PSV,1988,4,1,True
7,PSV,1989,5,2,True
8,PSV,1990,5,2,True
9,PSV,1992,3,2,True
10,PSV,1993,8,0,True
11,PSV,1998,9,8,False
12,PSV,1999,10,11,False
13,PSV,2005,3,0,True
14,PSV,2006,0,5,False
15,PSV,2007,2,1,True
16,PSV,2016,0,0,False
17,PSV,2024,1,3,False
18,Reims,1956,4,2,True
19,Reims,1959,7,0,True
20,Reims,1961,3,4,False
21,Reims,1963,7,3,True
22,Anderlecht,1956,4,10,False
23,Anderlecht,1963,4,2,True
24,Anderlecht,1965,0,4,False
25,Anderlecht,1966,9,0,True
26,Anderlecht,1967,2,6,False
27,Anderlecht,1968,5,6,False
28,Anderlecht,1969,3,4,False
29,Anderlecht,1973,0,2,False
30,Anderlecht,1975,5,4,True
31,Anderlecht,1982,4,2,True
32,Anderlecht,1986,4,1,True
33,Anderlecht,1987,3,1,True
34,Anderlecht,1988,3,1,True
35,Anderlecht,1992,4,1,True
36,Anderlecht,1994,5,2,True
37,Anderlecht,1995,4,7,False
38,Anderlecht,2001,7,12,False
39,Hibernian,1956,5,1,True
40,Gwardia,1956,1,4,False
41,Real Madrid,1956,7,0,True
42,Real Madrid,1957,7,5,True
43,Real Madrid,1958,8,1,True
44,Real Madrid,1959,3,1,True
45,Real Madrid,1960,12,2,True
46,Real Madrid,1961,3,4,False
47,Real Madrid,1962,12,0,True
48,Real Madrid,1964,8,4,True
49,Real Madrid,1965,6,2,True
50,Real Madrid,1966,7,3,True
51,Real Madrid,1967,3,2,True
52,Real Madrid,1968,6,3,True
53,Real Madrid,1969,2,2,False
54,Real Madrid,1970,2,4,False
55,Real Madrid,1973,4,3,True
56,Real Madrid,1976,6,5,True
57,Real Madrid,1977,0,2,False
58,Real Madrid,1979,3,3,False
59,Real Madrid,1980,2,2,True
60,Real Madrid,1981,3,0,True
61,Real Madrid,1987,1,1,True
62,Real Madrid,1988,4,2,True
63,Real Madrid,1989,4,2,True
64,Real Madrid,1990,1,2,False
65,Real Madrid,1991,11,3,True
