,team,season,goals,goalsAgainst,classified
0,Milan,1956,4,5,False
1,Milan,1958,5,2,True
2,Milan,1963,5,2,True
3,Milan,1969,2,1,True
4,Milan,1989,6,1,True
5,Milan,1990,2,2,True
6,Milan,1993,11,1,True
7,Milan,1994,3,0,True
8,Milan,1995,3,0,True
9,Milan,2003,1,1,True
10,Milan,2005,3,3,True
11,Milan,2006,0,1,False
12,Milan,2007,5,3,True
13,Milan,2023,0,3,False
14,Hibernian,1956,0,3,False
15,Real Madrid,1956,5,4,True
16,Real Madrid,1957,5,3,True
17,Real Madrid,1958,4,2,True
18,Real Madrid,1959,4,3,True
19,Real Madrid,1960,3,1,True
20,Real Madrid,1962,6,0,True
21,Real Madrid,1964,8,1,True
22,Real Madrid,1966,2,1,True
23,Real Madrid,1968,3,4,False
24,Real Madrid,1973,1,3,False
25,Real Madrid,1976,1,3,False
26,Real Madrid,1980,3,5,False
27,Real Madrid,1981,2,1,True
28,Real Madrid,1987,2,4,False
29,Real Madrid,1988,1,1,False
30,Real Madrid,1989,1,6,False
31,Real Madrid,1998,2,0,True
32,Real Madrid,2000,3,2,True
33,Real Madrid,2001,1,3,False
34,Real Madrid,2002,3,1,True
35,Real Madrid,2003,3,4,False
36,Real Madrid,2011,1,3,False
37,Real Madrid,2012,3,3,False
38,Real Madrid,2013,3,4,False
39,Real Madrid,2014,5,0,True
40,Real Madrid,2015,2,3,False
41,Real Madrid,2016,1,0,True
42,Real Madrid,2017,4,2,True
43,Real Madrid,2018,4,3,True
44,Real Madrid,2021,1,3,False
45,Real Madrid,2022,6,5,True
46,Real Madrid,2023,1,5,False
47,Reims,1956,3,0,True
48,Reims,1959,3,1,True
49,Man United,1957,3,5,False
50,Man United,1958,2,5,False
51,Man United,1966,1,2,False
52,Man United,1968,4,3,True
53,Man United,1969,1,2,False
54,Man United,1997,0,2,False
55,Man United,1999,4,3,True
56,Man United,2002,3,3,False
57,Man United,2007,3,5,False
58,Man United,2008,1,0,True
59,Man United,2009,4,1,True
60,Man United,2011,6,1,True
61,Fiorentina,1957,1,0,True
62,Crvena zvezda,1957,0,1,False
63,Crvena zvezda,1971,4,4,False
64,Crvena zvezda,1991,4,3,True
65,Crvena zvezda,1992,9,10,False
66,Vasas,1958,2,4,False
67,Atlético de Madrid,1959,3,4,False
68,Atlético de Madrid,1971,1,3,False
69,Atlético de Madrid,1974,2,0,True
70,Atlético de Madrid,2014,3,1,True
71,Atlético de Madrid,2016,2,2,True
72,Atlético de Madrid,2017,2,4,False
73,Young Boys,1959,1,3,False
74,Rangers,1960,3,6,False
75,Rangers,1993,7,5,False
76,Barcelona,1960,1,3,False
77,Barcelona,1961,3,2,True
78,Barcelona,1975,2,3,False
79,Barcelona,1986,3,3,True
80,Barcelona,1992,10,4,True
81,Barcelona,1994,3,0,True
82,Barcelona,2000,3,5,False
83,Barcelona,2002,1,3,False
84,Barcelona,2006,1,0,True
85,Barcelona,2008,0,1,False
86,Barcelona,2009,1,1,True
87,Barcelona,2010,2,3,False
88,Barcelona,2011,3,1,True
89,Barcelona,2012,2,3,False
90,Barcelona,2013,0,7,False
91,Barcelona,2015,5,3,True
92,Barcelona,2019,3,4,False
93,Rapid Wien,1961,1,4,False
94,Hamburg,1961,2,3,False
95,Hamburg,1980,5,3,True
96,Hamburg,1983,3,2,True
97,Benfica,1961,4,1,True
98,Benfica,1962,4,3,True
99,Benfica,1963,3,1,True
100,Benfica,1965,5,0,True
101,Benfica,1968,3,0,True
102,Benfica,1972,0,1,False
103,Benfica,1988,2,0,True
104,Benfica,1990,2,2,True
105,Benfica,1992,8,5,False
106,Standard Liège,1962,0,6,False
107,Tottenham,1962,3,4,False
108,Tottenham,2019,3,3,True
109,Dundee,1963,2,5,False
110,Feyenoord,1963,1,3,False
111,Feyenoord,1970,2,0,True
112,Inter,1964,4,2,True
113,Inter,1965,4,3,True
114,Inter,1966,1,2,False
115,Inter,1967,3,2,True
116,Inter,1972,0,0,True
117,Inter,1981,1,2,False
118,Inter,2003,1,1,False
119,Inter,2010,3,2,True
120,Inter,2023,3,0,True
121,Zürich,1964,1,8,False
122,Zürich,1977,1,6,False
123,Dortmund,1964,2,4,False
124,Dortmund,1997,2,0,True
125,Dortmund,1998,0,2,False
126,Dortmund,2013,4,3,True
127,Liverpool,1965,3,4,False
128,Liverpool,1977,6,1,True
129,Liverpool,1978,4,2,True
130,Liverpool,1981,1,1,True
131,Liverpool,1984,3,1,True
132,Liverpool,1985,5,0,True
133,Liverpool,2005,1,0,True
134,Liverpool,2007,1,1,True
135,Liverpool,2008,3,4,False
136,Liverpool,2018,7,6,True
137,Liverpool,2019,4,3,True
138,Liverpool,2022,5,2,True
139,Győr,1965,0,5,False
140,Partizan,1966,2,1,True
141,Celtic,1967,3,1,True
142,Celtic,1970,3,1,True
143,Celtic,1972,0,0,False
144,Celtic,1974,0,2,False
145,CSKA Sofia,1967,2,3,False
146,CSKA Sofia,1982,4,7,False
147,Dukla,1967,1,3,False
148,Juventus,1968,0,3,False
149,Juventus,1973,3,1,True
150,Juventus,1978,1,2,False
151,Juventus,1983,4,2,True
152,Juventus,1985,3,2,True
153,Juventus,1996,4,3,True
154,Juventus,1997,6,2,True
155,Juventus,1998,6,4,True
156,Juventus,1999,3,4,False
157,Juventus,2003,4,3,True
158,Juventus,2015,3,2,True
159,Juventus,2017,4,1,True
160,Spartak Trnava,1969,2,3,False
161,Ajax,1969,3,2,True
162,Ajax,1971,3,1,True
163,Ajax,1972,1,0,True
164,Ajax,1973,3,1,True
165,Ajax,1980,1,2,False
166,Ajax,1995,5,2,True
167,Ajax,1996,3,1,True
168,Ajax,1997,2,6,False
169,Ajax,2019,3,3,False
170,Leeds,1970,1,3,False
171,Leeds,1975,3,2,True
172,Leeds,2001,0,3,False
173,Legia,1970,0,2,False
174,Panathinaikos,1971,4,4,True
175,Panathinaikos,1985,0,5,False
176,Panathinaikos,1992,1,4,False
177,Panathinaikos,1996,1,3,False
178,Derby,1973,1,3,False
179,Bayern,1974,4,1,True
180,Bayern,1975,2,0,True
181,Bayern,1976,3,1,True
182,Bayern,1981,1,1,False
183,Bayern,1982,7,4,True
184,Bayern,1987,4,2,True
185,Bayern,1990,2,2,False
186,Bayern,1991,3,4,False
187,Bayern,1995,2,5,False
188,Bayern,1999,4,3,True
189,Bayern,2000,2,3,False
190,Bayern,2001,3,1,True
191,Bayern,2010,4,0,True
192,Bayern,2012,3,3,True
193,Bayern,2013,7,0,True
194,Bayern,2014,0,5,False
195,Bayern,2015,3,5,False
196,Bayern,2016,2,2,False
197,Bayern,2018,3,4,False
198,Bayern,2020,3,0,True
199,Újpest,1974,1,4,False
200,St-Étienne,1975,0,2,False
201,St-Étienne,1976,1,0,True
202,PSV,1976,0,1,False
203,PSV,1988,1,1,True
204,PSV,1993,4,13,False
205,PSV,2005,3,3,False
206,Mönchengladbach,1977,2,1,True
207,Mönchengladbach,1978,2,4,False
208,Dynamo Kyiv,1977,1,2,False
209,Dynamo Kyiv,1987,2,4,False
210,Dynamo Kyiv,1992,3,12,False
211,Dynamo Kyiv,1999,3,4,False
212,Club Brugge,1978,2,1,True
213,Club Brugge,1993,5,8,False
214,Köln,1979,3,4,False
215,Malmö,1979,1,0,True
216,Nottm Forest,1979,4,3,True
217,Nottm Forest,1980,2,1,True
218,Austria Wien,1979,0,1,False
219,Anderlecht,1982,0,1,False
220,Anderlecht,1986,1,3,False
221,Anderlecht,1992,8,9,False
222,Aston Villa,1982,1,0,True
223,Widzew,1983,2,4,False
224,Real Sociedad,1983,2,3,False
