,team,season,goals,goalsAgainst,classified
0,Vorwärts,1967,4,6,False
1,Vorwärts,1970,3,1,True
2,Liverpool,1967,5,3,True
3,Liverpool,1974,3,1,True
4,Liverpool,1977,7,0,True
5,Liverpool,1979,0,2,False
6,Liverpool,1980,2,4,False
7,Liverpool,1981,11,2,True
8,Liverpool,1982,8,0,True
9,Liverpool,1983,5,1,True
10,Liverpool,1984,6,0,True
11,Liverpool,1985,5,0,True
12,Liverpool,2002,7,3,True
13,Liverpool,2003,12,8,False
14,Liverpool,2005,6,3,True
15,Liverpool,2006,6,1,True
16,Liverpool,2007,11,5,True
17,Liverpool,2008,18,5,True
18,Liverpool,2009,11,5,True
19,Liverpool,2010,5,7,False
20,Liverpool,2015,5,9,False
21,Liverpool,2018,23,6,True
22,Liverpool,2019,9,7,True
23,Liverpool,2020,13,8,True
24,Liverpool,2021,10,3,True
25,Liverpool,2022,17,6,True
26,Liverpool,2023,17,6,True
27,Vasas,1967,7,0,True
28,Vasas,1968,9,1,True
29,Vasas,1978,1,4,False
30,Malmö,1967,1,5,False
31,Malmö,1969,3,5,False
32,Malmö,1972,1,4,False
33,Malmö,1973,2,4,False
34,Malmö,1976,3,3,True
35,Malmö,1977,2,3,False
36,Malmö,1979,1,0,True
37,Malmö,1988,1,2,False
38,Malmö,1990,2,1,True
39,Malmö,1991,5,4,True
40,Malmö,2015,4,15,False
41,Malmö,2016,1,21,False
42,Malmö,2022,1,14,False
43,Inter,1967,1,0,True
44,Inter,1972,6,4,True
45,Inter,1981,3,1,True
46,Inter,1990,1,2,False
47,Inter,2003,12,8,True
48,Inter,2004,8,11,False
49,Inter,2005,14,3,True
50,Inter,2006,9,4,True
51,Inter,2007,5,5,True
52,Inter,2008,12,4,True
53,Inter,2009,8,7,True
54,Inter,2010,7,6,True
55,Inter,2011,12,11,True
56,Inter,2012,8,7,True
57,Inter,2019,6,7,False
58,Inter,2020,10,9,False
59,Inter,2021,7,9,False
60,Inter,2022,8,5,True
61,Inter,2023,10,7,True
62,Inter,2024,8,5,True
63,Górnik Zabrze,1967,6,4,True
64,Górnik Zabrze,1968,4,0,True
65,Górnik Zabrze,1972,2,3,False
66,Górnik Zabrze,1973,10,0,True
67,Górnik Zabrze,1986,2,6,False
68,Górnik Zabrze,1987,1,3,False
69,Górnik Zabrze,1988,3,2,True
70,Górnik Zabrze,1989,7,1,True
71,CSKA Sofia,1967,3,2,True
72,CSKA Sofia,1970,3,5,False
73,CSKA Sofia,1972,4,0,True
74,CSKA Sofia,1973,4,1,True
75,CSKA Sofia,1974,4,0,True
76,CSKA Sofia,1976,2,3,False
77,CSKA Sofia,1977,0,1,False
78,CSKA Sofia,1981,2,0,True
79,CSKA Sofia,1982,1,0,True
80,CSKA Sofia,1983,2,0,True
