,team,season,goals,goalsAgainst,classified
0,Milan,1956,8,3,True
1,Milan,1958,5,2,True
2,Milan,1963,8,1,True
3,Milan,1964,3,4,False
4,Milan,1969,1,0,True
5,Milan,1989,1,0,True
6,Milan,1990,2,0,True
7,Milan,1991,1,2,False
8,Milan,1993,5,0,True
9,Milan,1994,6,2,True
10,Milan,1995,2,0,True
11,Milan,2003,3,2,True
12,Milan,2004,4,5,False
13,Milan,2005,5,0,True
14,Milan,2006,3,1,True
15,Milan,2007,4,2,True
16,Milan,2012,1,3,False
17,Milan,2023,2,1,True
18,Partizan,1956,3,4,False
19,Partizan,1964,1,4,False
20,Partizan,1966,6,4,True
21,MTK,1956,6,8,False
22,Hibernian,1956,4,1,True
23,Rapid Wien,1956,3,8,False
24,Rapid Wien,1961,4,0,True
25,Rapid Wien,1969,0,3,False
26,Rapid Wien,1984,2,2,False
27,Real Madrid,1956,4,3,True
28,Real Madrid,1957,6,2,True
29,Real Madrid,1958,10,2,True
30,Real Madrid,1959,7,1,True
31,Real Madrid,1960,9,4,True
32,Real Madrid,1962,4,2,True
33,Real Madrid,1964,4,3,True
34,Real Madrid,1965,3,6,False
35,Real Madrid,1966,4,3,True
36,Real Madrid,1967,0,3,False
37,Real Madrid,1968,4,2,True
38,Real Madrid,1973,3,0,True
39,Real Madrid,1976,3,3,True
40,Real Madrid,1980,3,2,True
41,Real Madrid,1981,2,0,True
42,Real Madrid,1987,4,4,True
43,Real Madrid,1988,4,3,True
44,Real Madrid,1989,3,2,True
45,Real Madrid,1991,1,3,False
46,Real Madrid,1996,1,2,False
47,Real Madrid,1998,4,1,True
48,Real Madrid,1999,1,3,False
49,Real Madrid,2000,3,2,True
50,Real Madrid,2001,5,3,True
51,Real Madrid,2002,3,2,True
52,Real Madrid,2003,6,5,True
53,Real Madrid,2004,5,5,False
54,Real Madrid,2011,5,0,True
55,Real Madrid,2012,8,2,True
56,Real Madrid,2013,5,3,True
57,Real Madrid,2014,3,2,True
58,Real Madrid,2015,1,0,True
59,Real Madrid,2016,3,2,True
60,Real Madrid,2017,6,3,True
