id,team,season,goals,goalsAgainst,classified,round
139,1860 München,1966/67,10,1,True,fase de grupos
657,1860 München,1966/67,2,3,False,octavos de final
532,AB,1968/69,4,3,True,fase de grupos
705,AB,1968/69,0,2,False,octavos de final
946,ACS Campionii FC Arges,1979/80,3,2,True,fase de grupos
788,ACS Campionii FC Arges,1979/80,1,4,False,octavos de final
945,ACS Campionii FC Arges,1972/73,6,0,True,fase de grupos
787,ACS Campionii FC Arges,1972/73,3,4,False,octavos de final
634,AEK Athens,2018/19,2,13,False,fase de grupos
633,AEK Athens,2006/07,6,9,False,fase de grupos
632,AEK Athens,2003/04,1,11,False,fase de grupos
631,AEK Athens,2002/03,7,7,False,fase de grupos
711,AEK Athens,1994/95,3,9,False,octavos de final
630,AEK Athens,1993/94,1,2,False,fase de grupos
710,AEK Athens,1992/93,3,3,True,octavos de final
331,AEK Athens,1992/93,1,3,False,cuartos de final
629,AEK Athens,1989/90,5,4,True,fase de grupos
709,AEK Athens,1989/90,1,3,False,octavos de final
628,AEK Athens,1979/80,2,3,False,fase de grupos
627,AEK Athens,1978/79,7,5,True,fase de grupos
708,AEK Athens,1978/79,2,7,False,octavos de final
626,AEK Athens,1971/72,4,6,False,fase de grupos
625,AEK Athens,1968/69,5,3,True,fase de grupos
707,AEK Athens,1968/69,2,0,True,octavos de final
330,AEK Athens,1968/69,2,3,False,cuartos de final
574,AEL,1968/69,0,12,False,fase de grupos
1335,AGF,1987/88,4,2,True,fase de grupos
128,AGF,1987/88,0,1,False,octavos de final
127,AGF,1960/61,4,0,True,octavos de final
197,AGF,1960/61,2,7,False,cuartos de final
126,AGF,1957/58,2,4,False,octavos de final
125,AGF,1955/56,2,4,False,octavos de final
1366,AIK,1999/00,4,16,False,fase de grupos
1365,AIK,1993/94,1,2,False,fase de grupos
962,APOEL,2017/18,2,17,False,fase de grupos
961,APOEL,2014/15,1,12,False,fase de grupos
960,APOEL,2011/12,6,6,True,fase de grupos
1023,APOEL,2011/12,1,1,True,octavos de final
553,APOEL,2011/12,2,8,False,cuartos de final
959,APOEL,2009/10,4,7,False,fase de grupos
1022,APOEL,1992/93,3,3,False,octavos de final
958,APOEL,1990/91,2,7,False,fase de grupos
957,APOEL,1986/87,3,3,False,fase de grupos
956,APOEL,1980/81,2,4,False,fase de grupos
955,APOEL,1973/74,0,3,False,fase de grupos
1206,AZ Alkmaar,2009/10,4,8,False,fase de grupos
1205,AZ Alkmaar,1981/82,4,1,True,fase de grupos
943,AZ Alkmaar,1981/82,4,5,False,octavos de final
1537,AaB,2008/09,9,14,False,fase de grupos
1051,AaB,1995/96,5,12,False,octavos de final
1364,Aarau,1993/94,0,1,False,fase de grupos
1197,Aberdeen,1985/86,7,2,True,fase de grupos
930,Aberdeen,1985/86,1,0,True,octavos de final
467,Aberdeen,1985/86,2,2,False,cuartos de final
1196,Aberdeen,1984/85,3,3,False,fase de grupos
1195,Aberdeen,1980/81,1,0,True,fase de grupos
929,Aberdeen,1980/81,0,5,False,octavos de final
144,Admira,1966/67,0,1,False,fase de grupos
136,Ajax,2022/23,11,16,False,fase de grupos
135,Ajax,2021/22,20,5,True,fase de grupos
333,Ajax,2021/22,2,3,False,octavos de final
134,Ajax,2020/21,7,7,False,fase de grupos
133,Ajax,2019/20,12,6,False,fase de grupos
132,Ajax,2018/19,11,5,True,fase de grupos
332,Ajax,2018/19,5,3,True,octavos de final
137,Ajax,2018/19,3,2,True,cuartos de final
169,Ajax,2018/19,3,3,False,semifinal
131,Ajax,2014/15,8,10,False,fase de grupos
130,Ajax,2013/14,5,8,False,fase de grupos
129,Ajax,2012/13,8,16,False,fase de grupos
128,Ajax,2011/12,6,6,False,fase de grupos
127,Ajax,2010/11,6,10,False,fase de grupos
126,Ajax,2005/06,10,6,True,fase de grupos
331,Ajax,2005/06,2,3,False,octavos de final
125,Ajax,2004/05,6,10,False,fase de grupos
124,Ajax,2003/04,6,7,False,fase de grupos
123,Ajax,2002/03,6,5,True,fase de grupos
330,Ajax,2002/03,6,5,True,octavos de final
136,Ajax,2002/03,2,3,False,cuartos de final
329,Ajax,1998/99,4,6,False,octavos de final
328,Ajax,1996/97,8,4,True,octavos de final
135,Ajax,1996/97,4,3,True,cuartos de final
