_id,home,away,goalHome,goalAway,season,round,winner
5,Milan,Rapid Wien,7,2,1956,cuartos de final,Milan
6,Partizan,Real Madrid,3,0,1956,cuartos de final,Partizan
7,MTK,Reims,4,4,1956,cuartos de final,empate
8,Hibernian,Djurgården,1,0,1956,cuartos de final,Hibernian
9,Rapid Wien,Milan,1,1,1956,cuartos de final,empate
10,Real Madrid,Partizan,4,0,1956,cuartos de final,Real Madrid
11,Reims,MTK,4,2,1956,cuartos de final,Reims
12,Djurgården,Hibernian,1,3,1956,cuartos de final,Hibernian
34,Nice,Real Madrid,2,3,1957,cuartos de final,Real Madrid
35,Grasshoppers,Fiorentina,2,2,1957,cuartos de final,empate
36,CSKA Sofia,Crvena zvezda,2,1,1957,cuartos de final,CSKA Sofia
37,Man United,Athletic Club,3,0,1957,cuartos de final,Man United
38,Crvena zvezda,CSKA Sofia,3,1,1957,cuartos de final,Crvena zvezda
39,Real Madrid,Nice,3,0,1957,cuartos de final,Real Madrid
40,Fiorentina,Grasshoppers,3,1,1957,cuartos de final,Fiorentina
41,Athletic Club,Man United,5,3,1957,cuartos de final,Athletic Club
65,Milan,Dortmund,4,1,1958,cuartos de final,Milan
66,Vasas,Ajax,4,0,1958,cuartos de final,Vasas
67,Sevilla,Real Madrid,2,2,1958,cuartos de final,empate
68,Crvena zvezda,Man United,3,3,1958,cuartos de final,empate
69,Dortmund,Milan,1,1,1958,cuartos de final,empate
70,Ajax,Vasas,2,2,1958,cuartos de final,empate
71,Real Madrid,Sevilla,8,0,1958,cuartos de final,Real Madrid
72,Man United,Crvena zvezda,2,1,1958,cuartos de final,Man United
96,Young Boys,Aue,2,1,1959,cuartos de final,Young Boys
97,Young Boys,Aue,2,2,1959,cuartos de final,empate
98,Atlético de Madrid,Schalke,3,0,1959,cuartos de final,Atlético de Madrid
99,Wiener SC,Real Madrid,0,0,1959,cuartos de final,empate
100,Standard Liège,Reims,2,0,1959,cuartos de final,Standard Liège
101,Real Madrid,Wiener SC,7,1,1959,cuartos de final,Real Madrid
102,Aue,Young Boys,0,0,1959,cuartos de final,empate
103,Schalke,Atlético de Madrid,1,1,1959,cuartos de final,empate
104,Reims,Standard Liège,3,0,1959,cuartos de final,Reims
125,Real Madrid,Barcelona,3,1,1960,cuartos de final,Real Madrid
126,Eintracht Frankfurt,Rangers,6,1,1960,cuartos de final,Eintracht Frankfurt
127,Rangers,Sparta,3,2,1960,cuartos de final,Rangers
128,Sparta,Rangers,2,3,1960,cuartos de final,Rangers
129,Eintracht Frankfurt,Wiener SC,2,1,1960,cuartos de final,Eintracht Frankfurt
130,Barcelona,Wolves,4,0,1960,cuartos de final,Barcelona
131,Nice,Real Madrid,3,2,1960,cuartos de final,Nice
132,Rangers,Sparta,0,1,1960,cuartos de final,Sparta
133,Wiener SC,Eintracht Frankfurt,1,1,1960,cuartos de final,empate
134,Wolves,Barcelona,2,5,1960,cuartos de final,Barcelona
135,Real Madrid,Nice,4,0,1960,cuartos de final,Real Madrid
160,IFK Malmö,Rapid Wien,0,2,1961,cuartos de final,Rapid Wien
