_id,home,away,goalHome,goalAway,season,round,winner
366,Vorwärts,Górnik Zabrze,1,3,1967,fase de grupos,Górnik Zabrze
367,Liverpool,Petrolul,2,0,1967,fase de grupos,Liverpool
368,Vasas,Sporting CP,5,0,1967,fase de grupos,Vasas
369,Malmö,Atlético de Madrid,0,2,1967,fase de grupos,Atlético de Madrid
370,Liverpool,Petrolul,2,0,1967,fase de grupos,Liverpool
371,Inter,Torpedo Moskva,1,0,1967,fase de grupos,Inter
372,Górnik Zabrze,Vorwärts,2,1,1967,fase de grupos,Górnik Zabrze
373,CSKA Sofia,Olympiacos,3,1,1967,fase de grupos,CSKA Sofia
374,Celtic,Zürich,2,0,1967,fase de grupos,Celtic
375,Ajax,Beşiktaş,2,0,1967,fase de grupos,Ajax
376,Esbjerg,Dukla,0,2,1967,fase de grupos,Dukla
377,1860 München,Omonoia,8,0,1967,fase de grupos,1860 München
378,Haka,Anderlecht,1,10,1967,fase de grupos,Anderlecht
379,KR Reykjavik,Nantes,2,3,1967,fase de grupos,Nantes
380,Admira,Vojvodina,0,1,1967,fase de grupos,Vojvodina
381,Aris,Linfield,3,3,1967,fase de grupos,empate
383,Sporting CP,Vasas,0,2,1967,fase de grupos,Vasas
384,Atlético de Madrid,Malmö,3,1,1967,fase de grupos,Atlético de Madrid
385,Petrolul,Liverpool,3,1,1967,fase de grupos,Petrolul
386,Torpedo Moskva,Inter,0,0,1967,fase de grupos,empate
387,Vorwärts,Górnik Zabrze,2,1,1967,fase de grupos,Vorwärts
388,Olympiacos,CSKA Sofia,1,0,1967,fase de grupos,Olympiacos
389,Zürich,Celtic,0,3,1967,fase de grupos,Celtic
390,Beşiktaş,Ajax,1,2,1967,fase de grupos,Ajax
391,Nantes,KR Reykjavik,5,2,1967,fase de grupos,Nantes
392,Dukla,Esbjerg,4,0,1967,fase de grupos,Dukla
393,Anderlecht,Haka,2,0,1967,fase de grupos,Anderlecht
394,Omonoia,1860 München,1,2,1967,fase de grupos,1860 München
395,Vojvodina,Admira,0,0,1967,fase de grupos,empate
396,Linfield,Aris,6,1,1967,fase de grupos,Linfield
428,Rapid Bucureşti,Botev Plovdiv,3,0,1968,fase de grupos,Rapid Bucureşti
429,Anderlecht,Chemnitz,2,1,1968,fase de grupos,Anderlecht
430,Hvidovre,Basel,3,3,1968,fase de grupos,empate
431,Sarajevo,Olympiakos,3,1,1968,fase de grupos,Sarajevo
432,Real Madrid,Ajax,2,1,1968,fase de grupos,Real Madrid
433,Vasas,Dundalk,8,1,1968,fase de grupos,Vasas
434,Juventus,Olympiacos,2,0,1968,fase de grupos,Juventus
435,Dynamo Kyiv,Celtic,1,1,1968,fase de grupos,empate
436,KuPS,St-Étienne,0,3,1968,fase de grupos,St-Étienne
437,Sparta Praha,Skeid,1,1,1968,fase de grupos,empate
438,Djurgården,Górnik Zabrze,0,1,1968,fase de grupos,Górnik Zabrze
439,Benfica,Glentoran,0,0,1968,fase de grupos,empate
440,Jeunesse Esch,Valur,3,3,1968,fase de grupos,empate
441,Hibernians,Man United,0,0,1968,fase de grupos,empate
442,Rapid Wien,Beşiktaş,3,0,1968,fase de grupos,Rapid Wien
444,Botev Plovdiv,Rapid Bucureşti,2,0,1968,fase de grupos,Botev Plovdiv
445,Chemnitz,Anderlecht,1,3,1968,fase de grupos,Anderlecht
446,Basel,Hvidovre,1,2,1968,fase de grupos,Hvidovre
447,Ajax,Real Madrid,1,1,1968,fase de grupos,empate
448,Dundalk,Vasas,0,1,1968,fase de grupos,Vasas
449,Olympiacos,Juventus,0,0,1968,fase de grupos,empate
450,Olympiakos,Sarajevo,2,2,1968,fase de grupos,empate
451,Celtic,Dynamo Kyiv,1,2,1968,fase de grupos,Dynamo Kyiv
452,St-Étienne,KuPS,2,0,1968,fase de grupos,St-Étienne
453,Skeid,Sparta Praha,0,1,1968,fase de grupos,Sparta Praha
454,Górnik Zabrze,Djurgården,3,0,1968,fase de grupos,Górnik Zabrze
455,Man United,Hibernians,4,0,1968,fase de grupos,Man United
456,Valur,Jeunesse Esch,1,1,1968,fase de grupos,empate
457,Glentoran,Benfica,1,1,1968,fase de grupos,empate
458,Beşiktaş,Rapid Wien,0,1,1968,fase de grupos,Rapid Wien
488,AB,Zürich,1,2,1969,fase de grupos,Zürich
489,Man United,Waterford,7,1,1969,fase de grupos,Man United
490,Benfica,Valur,8,1,1969,fase de grupos,Benfica
491,Rapid Wien,Rosenborg,3,3,1969,fase de grupos,empate
492,Spartak Trnava,FCSB,4,0,1969,fase de grupos,Spartak Trnava
493,Celtic,St-Étienne,4,0,1969,fase de grupos,Celtic
494,Ajax,Nürnberg,4,0,1969,fase de grupos,Ajax
495,Fenerbahçe,Man City,2,1,1969,fase de grupos,Fenerbahçe
496,Milan,Malmö,4,1,1969,fase de grupos,Milan
497,Reipas,Floriana,2,0,1969,fase de grupos,Reipas
498,Glentoran,Anderlecht,2,2,1969,fase de grupos,empate
499,Jeunesse Esch,AEK Athens,3,2,1969,fase de grupos,Jeunesse Esch
500,AEL,Real Madrid,0,6,1969,fase de grupos,Real Madrid
504,Real Madrid,AEL,6,0,1969,fase de grupos,Real Madrid
505,Zürich,AB,1,3,1969,fase de grupos,AB
506,Waterford,Man United,1,3,1969,fase de grupos,Man United
507,Valur,Benfica,0,0,1969,fase de grupos,empate
508,Rosenborg,Rapid Wien,1,3,1969,fase de grupos,Rapid Wien
509,FCSB,Spartak Trnava,3,1,1969,fase de grupos,FCSB
510,St-Étienne,Celtic,2,0,1969,fase de grupos,St-Étienne
511,Nürnberg,Ajax,1,1,1969,fase de grupos,empate
512,Man City,Fenerbahçe,0,0,1969,fase de grupos,empate
513,Malmö,Milan,2,1,1969,fase de grupos,Malmö
514,Floriana,Reipas,1,1,1969,fase de grupos,empate
515,Anderlecht,Glentoran,3,0,1969,fase de grupos,Anderlecht
516,AEK Athens,Jeunesse Esch,3,0,1969,fase de grupos,AEK Athens
546,Linfield,Crvena zvezda,2,4,1970,fase de grupos,Crvena zvezda
547,Celtic,Basel,2,0,1970,fase de grupos,Celtic
548,St-Étienne,Bayern,3,0,1970,fase de grupos,St-Étienne
549,Panathinaikos,Vorwärts,1,1,1970,fase de grupos,empate
550,Öster,Fiorentina,1,2,1970,fase de grupos,Fiorentina
551,KB,Benfica,2,3,1970,fase de grupos,Benfica
552,Lyn,Leeds,0,6,1970,fase de grupos,Leeds
553,Dynamo Kyiv,Austria Wien,3,1,1970,fase de grupos,Dynamo Kyiv
554,Ferencváros,CSKA Sofia,4,1,1970,fase de grupos,Ferencváros
555,Legia,UTA,8,0,1970,fase de grupos,Legia
556,Waterford,Galatasaray,2,3,1970,fase de grupos,Galatasaray
557,Spartak Trnava,Hibernians,4,0,1970,fase de grupos,Spartak Trnava
558,Tirana,Standard Liège,1,1,1970,fase de grupos,empate
559,Real Madrid,Olympiakos,6,1,1970,fase de grupos,Real Madrid
560,Feyenoord,KR Reykjavik,4,0,1970,fase de grupos,Feyenoord
561,Avenir,Milan,0,3,1970,fase de grupos,Milan
562,Olympiakos,Real Madrid,0,8,1970,fase de grupos,Real Madrid
563,Benfica,KB,2,0,1970,fase de grupos,Benfica
564,Fiorentina,Öster,1,0,1970,fase de grupos,Fiorentina
565,Leeds,Lyn,10,0,1970,fase de grupos,Leeds
566,Bayern,St-Étienne,2,0,1970,fase de grupos,Bayern
567,Austria Wien,Dynamo Kyiv,1,2,1970,fase de grupos,Dynamo Kyiv
568,KR Reykjavik,Feyenoord,2,12,1970,fase de grupos,Feyenoord
569,Standard Liège,Tirana,3,0,1970,fase de grupos,Standard Liège
570,Basel,Celtic,0,0,1970,fase de grupos,empate
571,Galatasaray,Waterford,2,0,1970,fase de grupos,Galatasaray
