_id,home,away,goalHome,goalAway,season,round,winner
13,Saarbrücken,Milan,1,4,1956,octavos de final,Milan
14,PSV,Rapid Wien,1,0,1956,octavos de final,PSV
15,Reims,AGF,2,2,1956,octavos de final,empate
16,Anderlecht,MTK,1,4,1956,octavos de final,MTK
17,Hibernian,Essen,1,1,1956,octavos de final,empate
18,Gwardia,Djurgården,1,4,1956,octavos de final,Djurgården
19,Real Madrid,Servette,5,0,1956,octavos de final,Real Madrid
20,Partizan,Sporting CP,5,2,1956,octavos de final,Partizan
21,Milan,Saarbrücken,3,4,1956,octavos de final,Saarbrücken
22,AGF,Reims,0,2,1956,octavos de final,Reims
23,Rapid Wien,PSV,6,1,1956,octavos de final,Rapid Wien
24,Djurgården,Gwardia,0,0,1956,octavos de final,empate
25,Essen,Hibernian,0,4,1956,octavos de final,Hibernian
26,Servette,Real Madrid,0,2,1956,octavos de final,Real Madrid
27,MTK,Anderlecht,6,3,1956,octavos de final,MTK
28,Sporting CP,Partizan,3,3,1956,octavos de final,empate
42,Dinamo Bucureşti,CSKA Sofia,3,2,1957,octavos de final,Dinamo Bucureşti
43,Honvéd,Athletic Club,3,3,1957,octavos de final,empate
44,Grasshoppers,Slovan Bratislava,2,0,1957,octavos de final,Grasshoppers
45,Norrköping,Fiorentina,0,1,1957,octavos de final,Fiorentina
46,Dortmund,Man United,0,0,1957,octavos de final,empate
47,Nice,Rangers,2,1,1957,octavos de final,Nice
48,Rapid Wien,Real Madrid,3,1,1957,octavos de final,Rapid Wien
49,Crvena zvezda,Rapid,2,0,1957,octavos de final,Crvena zvezda
50,Real Madrid,Rapid Wien,2,0,1957,octavos de final,Real Madrid
51,Nice,Rangers,3,1,1957,octavos de final,Nice
52,Athletic Club,Honvéd,3,2,1957,octavos de final,Athletic Club
53,Fiorentina,Norrköping,1,1,1957,octavos de final,empate
54,Rapid,Crvena zvezda,3,4,1957,octavos de final,Crvena zvezda
55,Real Madrid,Rapid Wien,4,2,1957,octavos de final,Real Madrid
56,Rangers,Nice,2,1,1957,octavos de final,Rangers
57,Slovan Bratislava,Grasshoppers,1,0,1957,octavos de final,Slovan Bratislava
58,CSKA Sofia,Dinamo Bucureşti,8,1,1957,octavos de final,CSKA Sofia
59,Man United,Dortmund,3,2,1957,octavos de final,Man United
73,Dortmund,FCSB,3,1,1958,octavos de final,Dortmund
74,Rangers,Milan,1,4,1958,octavos de final,Milan
75,Dortmund,FCSB,4,2,1958,octavos de final,Dortmund
76,Sevilla,AGF,4,0,1958,octavos de final,Sevilla
77,Man United,Dukla,3,0,1958,octavos de final,Man United
78,Young Boys,Vasas,1,1,1958,octavos de final,empate
79,Aue,Ajax,1,3,1958,octavos de final,Ajax
80,Norrköping,Crvena zvezda,2,2,1958,octavos de final,empate
81,Antwerp,Real Madrid,1,2,1958,octavos de final,Real Madrid
82,Milan,Rangers,2,0,1958,octavos de final,Milan
83,FCSB,Dortmund,3,1,1958,octavos de final,FCSB
84,Dukla,Man United,1,0,1958,octavos de final,Dukla
85,AGF,Sevilla,2,0,1958,octavos de final,AGF
86,Vasas,Young Boys,2,1,1958,octavos de final,Vasas
87,Real Madrid,Antwerp,6,0,1958,octavos de final,Real Madrid
88,Ajax,Aue,1,0,1958,octavos de final,Ajax
89,Crvena zvezda,Norrköping,2,1,1958,octavos de final,Crvena zvezda
105,Atlético de Madrid,CSKA Sofia,3,1,1959,octavos de final,Atlético de Madrid
106,Reims,HPS,4,0,1959,octavos de final,Reims
107,Real Madrid,Beşiktaş,2,0,1959,octavos de final,Real Madrid
108,Wolves,Schalke,2,2,1959,octavos de final,empate
109,Göteborg,Aue,2,2,1959,octavos de final,empate
110,Atlético de Madrid,CSKA Sofia,2,1,1959,octavos de final,Atlético de Madrid
111,MTK,Young Boys,1,2,1959,octavos de final,Young Boys
