_id,home,away,goalHome,goalAway,season,round,winner
1,Milan,Real Madrid,2,1,1956,semifinal,Milan
2,Hibernian,Reims,0,1,1956,semifinal,Reims
3,Real Madrid,Milan,4,2,1956,semifinal,Real Madrid
4,Reims,Hibernian,2,0,1956,semifinal,Reims
30,Man United,Real Madrid,2,2,1957,semifinal,empate
31,Fiorentina,Crvena zvezda,0,0,1957,semifinal,empate
32,Real Madrid,Man United,3,1,1957,semifinal,Real Madrid
33,Crvena zvezda,Fiorentina,0,1,1957,semifinal,Fiorentina
61,Milan,Man United,4,0,1958,semifinal,Milan
62,Vasas,Real Madrid,2,0,1958,semifinal,Vasas
63,Man United,Milan,2,1,1958,semifinal,Man United
64,Real Madrid,Vasas,4,0,1958,semifinal,Real Madrid
91,Reims,Young Boys,3,0,1959,semifinal,Reims
92,Atlético de Madrid,Real Madrid,1,0,1959,semifinal,Atlético de Madrid
93,Real Madrid,Atlético de Madrid,2,1,1959,semifinal,Real Madrid
94,Real Madrid,Atlético de Madrid,2,1,1959,semifinal,Real Madrid
95,Young Boys,Reims,1,0,1959,semifinal,Young Boys
123,Rangers,Eintracht Frankfurt,3,6,1960,semifinal,Eintracht Frankfurt
124,Barcelona,Real Madrid,1,3,1960,semifinal,Real Madrid
155,Rapid Wien,Benfica,1,1,1961,semifinal,empate
156,Barcelona,Hamburg,1,0,1961,semifinal,Barcelona
157,Hamburg,Barcelona,2,1,1961,semifinal,Hamburg
158,Benfica,Rapid Wien,3,0,1961,semifinal,Benfica
159,Barcelona,Hamburg,1,0,1961,semifinal,Barcelona
186,Standard Liège,Real Madrid,0,2,1962,semifinal,Real Madrid
187,Tottenham,Benfica,2,1,1962,semifinal,Tottenham
188,Real Madrid,Standard Liège,4,0,1962,semifinal,Real Madrid
189,Benfica,Tottenham,3,1,1962,semifinal,Benfica
216,Benfica,Feyenoord,3,1,1963,semifinal,Benfica
217,Dundee,Milan,1,0,1963,semifinal,Dundee
218,Milan,Dundee,5,1,1963,semifinal,Milan
219,Feyenoord,Benfica,0,0,1963,semifinal,empate
