,team,amount_matches,goals,goalsAgainst,win,tie,lose,penaltis_shootout,penaltis_winner,penaltis_loser,penaltis_goals,penaltis_goals_against
0,Real Madrid,477,1040,526,285,84,108,4,3,1,13,10
1,Milan,258,398,243,122,68,68,3,2,1,9,7
2,Hibernian,6,9,5,3,1,2,0,0,0,0,0
3,Reims,20,42,26,10,3,7,0,0,0,0,0
4,Partizan,37,45,63,9,5,23,1,0,1,4,5
5,MTK,8,20,22,3,1,4,0,0,0,0,0
6,Rapid Wien,54,77,85,20,6,28,0,0,0,0,0
7,Djurgården,6,5,9,1,1,4,0,0,0,0,0
8,Saarbrücken,2,5,7,1,0,1,0,0,0,0,0
9,PSV,169,199,217,56,43,70,3,2,1,17,15
10,Anderlecht,151,197,252,49,32,70,0,0,0,0,0
11,Gwardia,2,1,4,0,1,1,0,0,0,0,0
12,AGF,12,14,18,4,2,6,0,0,0,0,0
13,Essen,2,1,5,0,1,1,0,0,0,0,0
14,Servette,12,15,22,3,4,5,0,0,0,0,0
15,Sporting CP,86,109,155,24,14,48,0,0,0,0,0
16,Man United,283,490,292,147,69,67,1,1,0,6,5
17,Fiorentina,39,53,45,18,12,9,0,0,0,0,0
18,Crvena zvezda,97,181,151,45,15,37,2,1,1,7,7
19,Nice,10,19,20,5,0,5,0,0,0,0,0
20,Grasshoppers,38,54,66,9,8,21,0,0,0,0,0
21,CSKA Sofia,76,100,103,30,13,33,0,0,0,0,0
22,Athletic Club,22,27,29,6,7,9,0,0,0,0,0
23,Dinamo Bucureşti,44,60,74,14,8,22,0,0,0,0,0
24,Honvéd,26,33,49,10,3,13,0,0,0,0,0
25,Norrköping,8,9,18,0,4,4,0,0,0,0,0
26,Dortmund,172,275,213,79,36,57,0,0,0,0,0
27,Rapid,2,3,6,0,0,2,0,0,0,0,0
28,Rangers,120,145,192,36,31,53,0,0,0,0,0
29,Slovan Bratislava,14,17,23,6,2,6,0,0,0,0,0
30,Vasas,21,43,25,9,6,6,0,0,0,0,0
31,Sevilla,70,101,105,26,19,25,1,0,1,2,3
32,Ajax,213,341,235,100,49,64,2,0,2,2,7
33,Young Boys,33,37,66,8,9,16,0,0,0,0,0
34,Aue,10,13,14,2,3,5,0,0,0,0,0
35,Antwerp,8,7,25,1,0,7,0,0,0,0,0
36,FCSB,85,102,124,25,21,39,1,1,0,2,0
37,Dukla,34,49,46,15,7,12,0,0,0,0,0
38,Atlético de Madrid,164,227,161,77,44,43,4,3,1,17,16
39,Wiener SC,8,11,14,2,3,3,0,0,0,0,0
40,Standard Liège,40,68,50,20,5,15,0,0,0,0,0
41,Schalke,70,96,104,27,17,26,1,1,0,4,1
42,Wolves,6,9,14,1,2,3,0,0,0,0,0
43,Göteborg,63,99,91,27,10,26,1,0,1,4,5
44,HPS,2,0,7,0,0,2,0,0,0,0,0
45,Beşiktaş,68,60,134,16,13,39,0,0,0,0,0
46,Barcelona,337,657,347,193,76,68,2,1,1,5,6
47,Eintracht Frankfurt,15,30,28,7,3,5,0,0,0,0,0
48,Sparta,6,12,11,3,0,3,0,0,0,0,0
49,Fenerbahçe,67,66,128,19,8,40,1,1,0,3,2
50,B 1909,2,2,5,0,1,1,0,0,0,0,0
51,Senica,2,4,5,0,1,1,0,0,0,0,0
52,Jeunesse Esch,30,27,108,3,3,24,0,0,0,0,0
53,Benfica,256,389,311,108,60,88,2,1,1,9,7
54,Hamburg,39,69,55,18,6,15,0,0,0,0,0
55,IFK Malmö,4,2,5,1,1,2,0,0,0,0,0
56,Hradec Králové,4,2,5,1,2,1,0,0,0,0,0
57,Burnley,4,8,8,2,0,2,0,0,0,0,0
58,Panathinaikos,119,123,160,34,35,50,0,0,0,0,0
59,Újpest,38,60,62,15,8,15,1,1,0,4,3
60,Fredrikstad,2,0,4,0,0,2,0,0,0,0,0
61,Tottenham,59,100,82,26,13,20,0,0,0,0,0
62,Juventus,291,459,283,148,67,76,4,2,2,10,8
63,Nürnberg,6,7,13,3,1,2,0,0,0,0,0
64,Haka,6,3,23,0,0,6,0,0,0,0,0
65,Vorwärts,13,15,24,4,1,8,0,0,0,0,0
66,Feyenoord,78,120,99,27,22,29,0,0,0,0,0
67,Austria Wien,56,79,93,18,12,26,0,0,0,0,0
68,B 1913,2,0,12,0,0,2,0,0,0,0,0
69,Dundee,6,12,9,4,0,2,0,0,0,0,0
70,Galatasaray,155,159,260,40,40,75,0,0,0,0,0
71,Esbjerg,8,5,16,2,2,4,0,0,0,0,0
72,Ipswich,2,2,4,1,0,1,0,0,0,0,0
73,Polonia Bytom,2,2,4,1,0,1,0,0,0,0,0
74,Inter,201,282,206,96,52,53,2,1,1,7,7
75,Zürich,31,37,61,11,3,17,0,0,0,0,0
76,Monaco,94,132,128,34,20,40,0,0,0,0,0
77,Spartak Plovdiv,2,0,1,0,1,1,0,0,0,0,0
78,Górnik Zabrze,33,52,47,14,5,14,0,0,0,0,0
79,Liverpool,228,421,217,126,48,54,3,3,0,11,5
80,Győr,12,21,28,5,1,6,0,0,0,0,0
81,Amsterdam,4,9,3,2,1,1,0,0,0,0,0
82,Köln,13,20,11,5,7,1,0,0,0,0,0
83,Lokomotiv Sofia,6,11,16,2,1,3,0,0,0,0,0
84,Lyn,4,1,24,0,0,4,0,0,0,0,0
85,Chaux-de-Fonds,2,1,6,0,1,1,0,0,0,0,0
86,Ferencváros,28,39,67,7,6,15,0,0,0,0,0
87,Sparta Praha,100,124,152,32,23,45,0,0,0,0,0
88,Bremen,58,85,98,21,14,23,0,0,0,0,0
89,Kilmarnock,2,3,7,0,1,1,0,0,0,0,0
90,Levski,26,27,58,3,5,18,0,0,0,0,0
91,Celtic,156,213,219,61,28,67,1,0,1,4,5
92,Linfield,34,41,72,4,10,20,0,0,0,0,0
93,Vojvodina,9,10,9,5,1,3,0,0,0,0,0
94,Nantes,38,50,50,12,13,13,0,0,0,0,0
95,1860 München,4,12,4,3,0,1,0,0,0,0,0
96,Vålerenga,6,5,14,0,2,4,0,0,0,0,0
97,Malmö,51,39,93,13,11,27,2,1,1,6,6
98,KR Reykjavik,4,6,24,0,0,4,0,0,0,0,0
